Name,Ingredients,Direction
Simple Baked Chicken Drumsticks,"['9 -12       chicken drumsticks', '  garlic powder', '  pepper', '  salt', '  olive oil', '  rosemary (optional)', '  parsley']","['Put some olive oil in the bottom of a 9x13 pan (just enough to put the drumsticks on).', ""Add drumsticks (space enough apart so they aren't touching each other)."", 'Sprinkle generously with pepper and garlic powder. Sprinkle lightly with salt. Add rosemary to the chicken, if desired.', 'Bake at 375&deg; F for half an hour. Turn drumsticks over and add more garlic powder, pepper and salt (same as before). Top with the parsley.', 'Bake another half an hour, or until cooked until 160&deg;F.']"
Sugar and Spice Bacon (Or Turkey Bacon),"['6   slices    bacon or 6   slices    turkey bacon', '1   tablespoon    brown sugar', '1   tablespoon    sugar or 1   tablespoon    Splenda sugar substitute', '1/2  teaspoon    cinnamon', '1/4  teaspoon    nutmeg (fresh grated is best)', '1/8  teaspoon    allspice', '1/8  teaspoon    clove', '1/8  teaspoon    garlic salt', '1   pinch    cayenne']","['Preheat oven to 350*.', 'Place bacon slices on a cookie sheet and bake for 10 minutes.', 'Mix together remaining ingredients.  If you are using regular bacon, you may want to add garlic powder instead of garlic salt.  I always use the lower sodium bacon and Turkey bacon, so I feel like I can add the garlic salt :).', 'Remove from oven, flip bacon and sprinkle this side generously with sugar mixture.  Return to oven for 5-7 minutes, until bacon is looking fairly crisp, but not completely done.', 'Remove from oven and flip bacon again.  Sprinkle this side with sugar mixture and return to oven until bacon reaches your desired doneness.  (I usually allow about 5 more minutes.', 'Remove bacon to paper towel lined plate to use in other recipes or start digging in, being careful not to burn your little fingers on the melty sugar!']"
California Chicken,"['4       boneless skinless chicken breasts', '1   teaspoon    olive oil', '1/2  teaspoon    onion powder', '1   pinch    salt', '1   pinch    ground black pepper', '2       avocados, peeled, pitted and sliced ', '2       tomatoes, sliced ', '1 (8   ounce) package   monterey jack cheese, cut into 10 slices ']","['Preheat oven to 350 degrees F (175 degrees C).', 'Warm oil in skillet and add chicken and onion.', 'Cook 15 minutes or until chicken is browned and just about done.', 'Add salt and pepper to taste.', 'Place chicken on cookie sheet and top each breast with 1 to 2 slices of tomato and 2 to 3 slices of cheese.', 'Place in oven for 10 to 15 minutes, until cheese melts.', 'Remove from oven, add 2 to 3 slices of avocado on top of each breast, and serve immediately.']"
Hawaiian Red Tuna Poke,"['1   lb   sashimi tuna, cubed ', '3/4  tablespoon    toasted sesame oil', '3/4  tablespoon    soy sauce', '1/4  cup    green onion, finely chopped ', '1/4  cup   maui sweet onion, julienned ', '1/2  tablespoon    chili flakes', ' hawaiian salt, to taste ', ' white and black sesame seed (to garnish) (optional)', '  dried seaweed flakes (to garnish) (optional)', '  candlenuts, Crushed to garnish  (kukui nut) (optional)']","['Cube your tuna and dry it with a clean towel or paper towel. You don&rsquo;t want lots of water on your fish when you&rsquo;re about to make poke because you don&rsquo;t want the water to dilute the flavor of your seasonings and sauces. Once it&rsquo;s drained, put it in a mixing bowl and prepare your other ingredients.', 'Finely chop your green onions. You don&rsquo;t want huge pieces of green onions because it&rsquo;s inconvenient to eat and gets in the way of the smooth and cool consistency of this dish. Next, cut your onions so that they&rsquo;re long, and not diced. You can dice them, but I think it adds more to the dish to chop the onions in a different shape than your green onions and tuna. Think about it, the tuna is cubed, the green onions are sorta cubed shaped, so why do you have to also put onions in that are cubed? Make this dish interesting visually and tastefully with julienned onions.', 'Combine your soy sauce, sesame oil and chili flakes into the bowl. Fold until well mixed. Since you&rsquo;re already adding soy sauce, you don&rsquo;t need to add a lot of Hawaiian Salt. Then garnish with whatever else you have (sesame seeds, seaweed, kukui nuts, etc.).']"
Bourbon Chicken,"['2   lbs    boneless chicken breasts, cut into bite-size pieces ', '1 -2   tablespoon    olive oil', '1       garlic clove, crushed ', '1/4  teaspoon    ginger', '3/4  teaspoon    crushed red pepper flakes', '1/4  cup    apple juice', '1/3  cup    light brown sugar', '2   tablespoons    ketchup', '1   tablespoon    cider vinegar', '1/2  cup    water', '1/3  cup    soy sauce']","[""Editor's Note:  Named Bourbon Chicken because it was supposedly created by a Chinese cook who worked in a restaurant on Bourbon Street."", 'Heat oil in a large skillet.', 'Add chicken pieces and cook until lightly browned.', 'Remove chicken.', 'Add remaining ingredients, heating over medium Heat until well mixed and dissolved.', 'Add chicken and bring to a hard boil.', 'Reduce heat and simmer for 20 minutes.', 'Serve over hot rice and ENJOY.']"
Peanut Butter Semifreddo,"['1   cup    whipping cream', '1/3  cup    peanut butter', '1/4  cup    brown sugar', '2       egg whites, at room temperature ', '1   pinch    salt', '1/4  cup    granulated sugar', '2   teaspoons    vanilla', ' toasted peanuts, coarsely chopped ']","['Line an 8x4&ndash;inch (2 L) loaf pan with a large piece of plastic wrap, making sure it generously hangs over the sides. Warm 3 tbsp (45 mL) whipping cream with peanut butter and brown sugar in a small saucepan over medium heat, stirring until smooth. Set aside to cool.', 'Meanwhile in a large bowl, beat egg whites with salt until frothy. Gradually add granulated sugar, increasing speed to medium&ndash;high. Beat until whites hold stiff peaks. Set aside.', 'In a separate bowl, beat remaining whipping cream with vanilla until soft peaks form. Fold cooled peanut butter mixture into egg whites, then fold in whipping cream. Scrape into loaf pan, smoothing surface. Cover surface with overhanging plastic wrap, then cover with foil. Freeze overnight.', 'Just before serving, unmold onto a cutting board and discard plastic wrap. For each serving, cut a 1&ndash;inch (2.5 cm) thick slice, then slice diagonally into 2 triangles. To serve, stand one triangle upright against the other. Sprinkle with toasted peanuts. Excellent with a tropical fruit salad, such as mango, pineapple and papaya. Rewrap and freeze any leftovers for up to a month.']"
S'more Cups,"['1   cup    graham cracker crumbs', '1/4  cup    powdered sugar', '6   tablespoons    butter, melted ', '4      regular size milk chocolate candy bars, divided ', '12   large    marshmallows']","['Preheat oven to 350 degrees Fahrenheit.', 'Combine graham cracker crumbs, powdered sugar and melted butter in a bowl.', 'Use a mini muffin pan and place a small scoop of crumb mixture into each cup.', 'Press the mixture to form a cup.', 'Bake 4 to 5 minutes or until edges bubble and remove from oven.', 'Break candy bar into rectangles and cut marshmallows in half.', 'Place one piece of chocolate into each cup and top with a marshmallow.', 'Bake for another minute or two or until the marshmallow is soft.', 'Remove and cool.', ""Melt the remaining candy bars and dip each s'more into the chocolate mixture."", 'Let stand until set and enjoy.']"
Chicken Pot Pie Cupcakes,"['1 (10   count) can   biscuits', '1   cup    cooked chicken breast, skinless, diced ', '1 (10 1/2  ounce) can   cream of chicken soup', '2/3  cup    shredded cheddar cheese', ""1   cup    frozen mixed vegetables (whatever you like...it doesn't matter)"", '1   teaspoon    herbes de provence', '1   teaspoon    onion powder', '3       garlic cloves, diced ', '1/4  teaspoon    black pepper']","['Preheat oven to 400 degrees.', 'Lightly grease a 12 hole cupcake pan.', 'Separate the biscuits and place each biscuit in a muffin cup, pressing the dough up the sides to the edge of cup.', 'In a medium bowl, combine the chicken, chicken soup, veggies (can be frozen), cheddar cheese, and seasonings.', 'Mix well to combine.', 'Evenly spoon chicken mixture into prepared biscuit cups.', 'Bake for 12 to 15 minutes or until golden brown.', 'Remove from oven. Place on wire rack and let set for 2-3 minutes. Serve at immediately.']"
Torta - a Spanish Influenced Breakfast,"['6       potatoes, peeled  (red or small yukon gold)', '1/2      onion, chopped  (red or white)', '3       garlic cloves, chopped  (optional)', '6       eggs', '  olive oil (enough to cover potatoes)', '2   tablespoons    milk (adds a little fluffiness)', '  salt', '  fresh ground pepper']","['Slice potatoes thinly.', 'Add olive oil to a deep 10&quot; frying pan, add potatoes, chopped garlic, and red or white chopped onions.', 'Make sure there is enough oil to cover potatoes.', 'Saute uncovered until the potatoes are soft, but not brown.', 'Drain oil.', 'Save a couple tablespoons, discard the rest.', 'A little before the potatoes are cooked, mix the eggs and milk.', 'When potatoes are cooked and drained, add them to the eggs and milk mixture.', 'Let sit for 10-15 minutes.', 'Season mixture with a bit of salt and lots of black pepper.', 'Heat a 10&quot; non-stick frying and add the two tablespoons of olive oil.', 'Add the potato and egg mixture and cook on low heat until the egg is set (fork will come out clean if inserted).', 'Flip the tortilla using the lid of a large pan: Place lid over the frying pan; turn pan over; slide the tortilla cooked side up back onto the frying pan to finish cooking, just a couple of minutes longer.', 'Remove from heat and let tortilla rest for 15 minutes before serving.', 'May be served warm or at room temperature.', 'Serve in pie like slices or cut into cubes if serving it to a larger crowd.', 'Note: rather than flipping the tortilla you can cook on top of the stove until the egg is set on the bottom and then transfer the pan to a 400 degree oven to finish.']"
Banana Bread Muffins,"['2   cups    flour', '1   teaspoon    baking soda', '1/4  teaspoon    salt', '1/2  cup   one stick butter', '3/4  cup    brown sugar', '2   large    eggs, beaten ', '3 -4      over ripe bananas']","['Preheat oven to 350&deg;F.', 'Line Cupcake tin with papers &amp; spray with vanilla pam (pam for baking).', 'In Large bowl, combine flour soda &amp; salt.', 'In a separate bowl, cream together Butter &amp; Sugar.', 'Stir in Eggs &amp; mashed Bananas until well blended.', 'Stir Banana mixture into flour mixture (I used an electric mixer on low).', 'Fill muffin tins with generous amount of Banana batter (I fill almost to the top).', 'Bake 20 min or untill toothpic comes out clean.']"
Oreo and Peanut Butter Brownie Cupcakes,"['1 (18   ounce) box   brownie mix, 8x8 inch size ', '1/3  cup    water (use amount specified on your brownie mix)', '1/3  cup    canola oil (use amount specified on your brownie mix)', '2       eggs (use amount specified on your brownie mix)', '24       Oreo cookies', '1/2  cup    creamy peanut butter']","['Preheat oven to 350f (180c) degrees and line a 12 muffin cup baker with paper liners.', 'Prepare brownie mix according to package directions. For each cupcake cup spread 1/2 teaspoon of peanut butter over each Oreo cookie and stack them on top of each other. Place oreo stacks into the cupcake lined muffin cups. Spoon 2 tablespoons of brownie batter over each stacked oreos and let it run down the sides of the cookies. If you have left over brownie batter, bake separately in a separate baker or muffin tin. Bake cookies and brownies for 18 to 20 minutes, until brownies are cooked through. Let cool completely then serve.', 'Makes 12 servings.']"
Cinnamon Roll Waffles,"['1 3/4  cups    all-purpose flour', '2   tablespoons    granulated sugar', '1   teaspoon    baking powder', '1/2  teaspoon    baking soda', '1/4  teaspoon    salt', '2   large    eggs', '2   cups    buttermilk', '1/4  cup    vegetable oil', '1   teaspoon    vanilla extract', '1/2  cup    butter, melted ', '3/4  cup    brown sugar, packed ', '1   tablespoon    ground cinnamon', '4   tablespoons    butter', '2   ounces    cream cheese', '3/4  cup    powdered sugar', '1/2  teaspoon    vanilla extract']","['Too prepare the waffles: In a medium bowl, whisk together flour, sugar, baking powder, baking soda and salt. Make a well in the center of the mixture; set aside.', 'In a separate bowl, whisk together eggs, buttermilk, oil and vanilla. Pour into the bowl with the dry ingredients. Stir just until moistened; batter will be slightly lumpy.', ""Preheat a waffle iron and spray with nonstick spray. Pour batter into waffle iron grid and close the lid. Bake until waffles are completely done- follow your waffle iron's instructions. Use a fork to remove finished waffles. Repeat with remaining batter. Keep waffles warm until ready to serve (Placing in a 200 degree oven is will do the trick)."", 'To prepare the cinnamon topping: In a medium bowl, mix butter, brown sugar and cinnamon. Scoop the filling into a small zip baggie and set aside.', 'To prepare the cream cheese topping: In a medium, microwave-safe bowl- heat butter and cream cheese for 30 to 60 seconds; just until melted. Stir together until smooth; whisk in powdered sugar and vanilla extract.', 'When ready to serve, place waffle on plate, drizzle cinnamon topping, then drizzle cream cheese topping to taste. Serve immediately.']"
Kim Bap (Korean Rice Rolls),"['4   cups   hot cooked rice', '1   teaspoon    rice vinegar', '1/2  teaspoon    soy sauce', '1/2  teaspoon    dark sesame oil', '4   sheets   kim fresh seaweed', '1   small    carrot, julienned ', '2       eggs, beaten ', '10   ounces    frozen spinach, thawed and drained ', '1/2  teaspoon    sesame oil', '1/2  teaspoon    soy sauce', '4   slices   pickled yellow radishes', '1   tablespoon    sesame seeds, toasted ']","['Let rice cool a bit.', 'Meanwhile, mix the rice with the vinegar, soy sauce, and sesame oil.', 'Fry eggs as if it were a pancake.', 'Cut egg into strips.', 'Mix spinach with sesame oil and soy sauce.', 'To assemble, put rice on a bamboo roller (I do not have one and it works fine, just not as pretty).', 'Spread rice over 2/3 of the sheet, lay carrots, spinach, and egg on top.', 'Sprinkle with sesame seeds and roll like a jelly roll.', 'Cut into 1/2 inch rounds.', 'You can adapt this to your own tastes, some people put imitation crab meat in them, I put marinated soy bean sprouts and cucumbers in mine, etc.']"
Cajun-Spiced Tilapia,"['1   teaspoon    dried thyme', '1   teaspoon    dried oregano', '1   teaspoon    black pepper', '1/4  teaspoon    cayenne pepper', '2   teaspoons    paprika', '1/2  teaspoon    garlic salt', '4 (6   ounce)    tilapia fillets', '3   tablespoons    unsalted butter']","['Place all herbs and spices in a bowl and mix well.  Lightly coat the fish in the spice mixture.', 'Add butter to frying pan and heat until sizzling.  Add the fish fillets, and saute over moderate heat for 4 minutes on each side, or until browned and cooked.']"
Salmon Patties With Seasoned Mayo,"['5 -6   tablespoons    mayonnaise, tangy ', '2   teaspoons    wasabi, sauce ', '1   tablespoon    lemon zest, finely grated ', '2   tablespoons    honey', '  olive oil (for frying, or use canola)', '2 (7 1/2  ounce) cans   salmon, drained in a sieve ', '1/2  cup    onion, finely chopped ', '3/4  cup    dried breadcrumbs (I prefer cornflake crumbs)', '1   tablespoon    Dijon mustard, smooth ', '1/2  teaspoon    black pepper, coarse ', '2   tablespoons    parsley, chopped ', '3   tablespoons    mayonnaise, tangy ', '1   tablespoon    lemon juice', '1   tablespoon    fish sauce', '2   teaspoons    Worcestershire sauce', '2       eggs, lightly beaten ']","['Whisk together the ingredients for the mayonnaise, and taste. Note that I used a wasabi sauce, not the tube. Wasabi from a tube might be stronger, so use less. Put in a small jug, cover and keep in fridge.', ""Crush the salmon in a roomy bowl, then add all the ingredients, EXCEPT keep out 1/4 cup cornflake crumbs, and don't add the eggs yet. Mix ingredients lightly while you add them."", 'Add the eggs, and fold the mixture over and over until very well mixed. You can make this mixture ahead of time and keep in the fridge -- it helps to develop the flavour.', 'If possible, use a nonstick pan for frying -- saves so much battle with possible sticking! Heat the pan over high heat, add a film of oil, and heat that well.', 'Form patties about the size of your palm, and lightly pat on some of the 1/4 cup cup crumbs you kept out.', 'Fry in batches over medium heat until one side is deep golden brown, then flip over.  You will need more oil as you fry them.', 'I got 10 patties from this recipe. A serving might be 2 or 3, while a small kid will only have 1, so number of servings are up to you to decide!', 'Serve hot, with the cold prepared mayonnaise. With a filling, healthy salad this is a dinner.']"
Green Bean Casserole,"['1 (10 3/4  ounce) can   condensed cream of mushroom soup', '1/4  cup    milk', '1/8  teaspoon    black pepper', '2 (14 1/2  ounce) cans   cut green beans, drained ', ""1 1/3  cups    French-fried onions (French's)""]","['Combine soup, milk and pepper in a 1 1/2 qt baking dish; stir until blended.', 'Stir in beans and 2/3 cup fried onions.', 'Bake at 350&deg;F for 30 minutes or until hot.', 'Stir.', 'Sprinkle with remaining 2/3 cup fried onions.', 'Bake 5 more minutes or until onions are golden.']"
Old Spaghetti Factory Original Clam Sauce,"['3   ounces    butter', '2   cloves    garlic, finely chopped ', '1/2  medium    onion, finely chopped ', '3   stalks    celery, finely chopped ', '3   tablespoons    flour', '2 (6   ounce) cans   clams, chopped ', '1   quart    half-and-half', '1/4  teaspoon    ground thyme', '1   teaspoon    salt']","['Combine butter, garlic, onion and celery in a saucepan.', 'Braise over medium-low heat until tender but not brown.', 'Add the flour, and mix to make a roux.', 'Drain clams, reserving juice.', 'In a separate saucepan, combine clam juice, half-and-half, thyme and salt.', 'Heat until just below boiling.', 'Add to roux, and cook until sauce thickens.', 'Add clams, stirring gently to mix through out the sauce.', 'Serve over noodles.']"
Guacamole Grilled Cheese Sandwich,"['2      ripe avocados', '1/2  small    onion, minced ', '1       garlic clove, minced ', '1   small    jalapeno, stems and seeds removed, minced ', '2   tablespoons    cilantro leaves, finely chopped ', '1   tablespoon    fresh lime juice', '1/2  teaspoon    coarse salt', '1   dash   of freshly grated black pepper', '1       roma tomato, chopped ', '4   slices   crusty white bread', '4   slices    cheddar cheese', '  butter, for buttering bread ']","['To make the guacamole : Cut avocados in half. Remove seed. Scoop out avacado from the peel, put in a large bowl. Using a fork, mash the avocado. Add the onion, garlic, jalape&ntilde;o, cilantro, lime juice, salt and pepper. Stir until well combined. Add the chopped tomato and stir.', 'Heat a pan or griddle to medium-high heat. Spread desired amount of guacamole on both slices of bread then top with cheese. Butter outer slices of bread and grill on one side for about 2 minutes or until golden and crispy. Flip the sandwich and grill until golden brown. Make the other sandwich the same way and serve warm.']"
Pot Pie Cupcakes,"['1   cup    onion, diced ', '1   cup    celery, diced ', '1   cup    carrot, diced ', '1   cup    frozen peas', '1   cup    frozen corn', '1/3  cup    butter', '1/2  cup    all-purpose flour', '2   cups    chicken broth', '1   cup    milk', '4   cups    chicken, cooked and chopped ', '  salt', '  pepper', '12       egg roll wraps (you can either find these in the prepared salad section at the grocery or at any oriental market)', '1       egg, beaten ']","['Preheat oven to 350&deg;F.', 'Saute onion, celery, carrots in margarine for 10 minutes.', 'Add flour to sauteed mixture, stirring well, cook one minute stirring constantly.', 'Combine broth and milk and gradually stir into vegetable mixture.', 'Add canned/frozen veggies to mixture.', 'Cook over medium heat stirring constantly until thickened and bubbly.', 'Remove from heat.  Stir in salt, pepper and chicken.', 'Once filling of your choice is prepared, grease a cupcake pan and push wrappers down, fill with mixture and swipe all edges with egg. Close them up the best you can!', 'Bake for about 20-25 minutes.']"
Loaded Potato and Buffalo Chicken Casserole,"['2   lbs    boneless skinless chicken breasts, cut into 1/2-inch cubes ', '8 -10   medium    potatoes, cut into 1/2-inch cubes  (I leave the skin on)', '1/3  cup    olive oil', '1 1/2  teaspoons    salt', '1   tablespoon    fresh ground pepper', '1   tablespoon    paprika', '2   tablespoons    garlic powder', '6   tablespoons    hot sauce', '2   cups   fiesta Mexican blend cheese or 2   cups    monterey jack and cheddar cheese blend', '1   cup   crumbled cooked bacon', '1   cup   diced green onion']","['Preheat oven to 500F (This is NOT a typo, 500F is correct!) .', 'In a large bowl mix together the olive oil, hot sauce, salt, pepper, garlic powder &amp; paprika.', 'Add the potatoes and stir to coat.', 'Add the potatoes to a greased baking dish.', 'When scooping the potatoes into the baking dish, leave behind any extra olive oil/hot sauce mix.', 'Add the diced chicken to the &ldquo;left behind&rdquo; olive oil/hot sauce mix and stir to coat all the chicken.  Allow to marinate as the potatoes bake.', 'Roast the potatoes for 45-50 minutes, stirring every 10-15 minutes, until cooked through and nice and crispy on the outside.', 'Once the potatoes are fully cooked add the marinated chicken.', 'Once the potatoes are fully cooked, remove from the oven and lower the oven temperature to 400&deg;F.', 'In a large bowl mix all the topping ingredients together.', 'Top the raw chicken with the topping.', 'Bake 15 minutes or until until the chicken is cooked through and the topping is melted and bubbly delicious.', 'Serve with extra hot sauce and/or ranch dressing.']"
Mile High Memphis Style Barbecue Nachos,"['1 (16   ounce) bag   tortilla chips', '1   lb    Velveeta cheese, melted ', '1   cup    barbecue sauce', '2   lbs    barbecued pork', '1      four once can pickled jalapeno pepper, drained ']","['preheat oven to 400 degrees.', 'spread a single layer of tortilla chips on a baking sheet', 'drizzle with cheese and barbecue sauce and top with a few spoonfuls of meat.', 'make two more layers the same way.', 'bake about ten minutes until cheese is bubbly and nachos are heated through.', 'top with jalepeno slices.']"
Bacon Apple Pie,"['2   cups    apple pie filling (approx)', '1       pie crust', '1/8  cup    sugar', '1   teaspoon    cinnamon', '1/4  teaspoon    nutmeg', '1   teaspoon    lemon juice', '10 -12   slices    bacon (uncooked)']","['Preheat the oven to 400&deg;F.', 'Mix apple pie filling, sugar, cinnamon, nutmeg, and lemon juice in a bowl and pour into pie crust (in a pie pan or tin). Smooth with a spatula.', 'Create bacon weave on top of pie: Lay two strips across the pie so that they intersect in the middle and are at right angles. Turn the pie so that the lower strip points toward you. Continue adding more bacon to the left and the right, creating an alternating over-under pattern with the single strip that runs side-to-side.', 'At this point, there should five or six strips of bacon pointing toward the front of the pie and one strip running side-to-side which weaves over and under the other five or six strips.', 'Begin laying a strip of bacon next to the on running side-to-side. Start at one end and create an over-under pattern opposite the first one by lifting up alternating strips, laying this piece down, and replacing the strips you lifted. Continue on both sides until the pie is completely covered in a bacon lattice with an alternating over-under weave.', 'Trim the ends that hang over the sides. Save these trimmings for use in recipes that call for diced bacon (you can freeze them).', 'Bake 45-60 minutes, or until bacon is crispy and completely cooked. You may want to bake this over a baking sheet in case apple or bacon grease ooze over the sides.', 'Cool for 10 minutes before serving. Serve with caramel praline, dulce de leche, or similar ice cream. If desired, you can cooked up the bacon trimmings and garnish the ice cream with them.']"
Delicious Kung Pao Chicken,"['1 7/8  lbs    boneless skinless chicken thighs, diced, use chicken breast tenderloin if prefer ', '3   teaspoons    chinese rice wine (cooking michiu)', '3   teaspoons    soy sauce', '3   teaspoons    cornstarch', '3   teaspoons    eggs, beaten ', '1/2  cup    grapeseed oil', '1   cup    dried chili', '5       green onions, coarsely chopped ', '1   tablespoon    soy sauce', '2   tablespoons   asian black vinegar', '2   teaspoons    brown sugar', '1   tablespoon   hot sesame oil', '4   ounces    roasted peanuts']","['Combine chicken, cooking michiu, soy sauce, corn starch and beaten egg. Marinade in refrigerator for at least 30 minutes.', 'Heat grape seed oil in a wok over high heat but do not allow oil to smoke. Carefully stir fry chicken for 1 minute. Drain chicken and set aside.', 'Keep about 1 tablespoon oil in wok.  Return to heat over medium high. Stir fry dried chili for about 1 minute. Add chicken, green onions, soy sauce, black vinegar and brown sugar. Increase heat to high and quickly stir fry all ingredients until sauce becomes thick and half of it evaporates.', 'Turn off heat.', 'Stir in hot sesame oil and peanuts.', 'Serve hot with steamed rice.']"
Crock Pot Chicken Taco Meat,"['3   tablespoons    taco seasoning, I use <a href=""https://www.food.com/recipe/bulk-taco-seasoning-mix-4292"">Bulk Taco Seasoning Mix</a> ', '1   cup    chicken broth', '1   lb    boneless skinless chicken breast']","['Dissolve taco seasoning into chicken broth.', 'Place chicken breasts in crock pot and pour chicken broth over.', 'Cover and cook on low for 6-8 hours.', 'With two forks, shred the chicken meat into bite-size pieces.', 'To freeze, place shredded meat into freezer bags with the juices.', 'Press out all the air and seal.']"
Shredded Potato Baskets With Cheese and Bacon #5FIX,"['1 (20   ounce) package   Simply Potatoes&reg; Shredded Hash Browns', '1   large    egg', '2 -3   tablespoons    flour', '1 (12   ounce) package   shredded cheddar cheese', '8   ounces    bacon, cooked and crumbled ']","['Heat oven to 375 degrees F.  Generously coat 2 6-compartment non-stick muffin tins with cooking spray.  Set aside.', 'In a large bowl, combine the potatoes, egg and flour, adding just enough flour so mixture &quot;sticks together&quot;.  Divide evenly among the prepared muffin compartments.  Using the back of a spoon, firmly press potato mixture into bottom and up sides of each compartment, making a &quot;well&quot; in each.', 'Place in oven and bake for 20-25 minutes or until just starting to brown.  Remove from oven and divide shredded cheese evenly among cups and top each with crumbled bacon.  Return to oven and bake another 5-10 minutes or until &quot;baskets&quot; are golden brown and cheese and bacon is hot, melted and bubbly.', 'Remove from oven and let rest for 5 minutes.  To serve:  gently run the tip of a sharp knife blade around rim of each cup to loosen.  Release each basket and place on serving platter.']"
Overnight Apple-Cinnamon Oatmeal,"['6   cups    apple cider (add 1-2 cups of water if you like thin oatmeal)', '2   cups    steel cut oats', '2   tablespoons   packed light brown sugar (up to 1/4 cup, depending on preferred sweetness )', '1/2  teaspoon    kosher salt', '1   teaspoon    ground cinnamon']","['Coat the inside of a 4-5 quart slow cooker with cooking spray.', ""Combine all the ingredients in the slow cooker and stir. I find it helpful to mix the brown sugar with the cinnamon; the cinnamon gets better incorporated and doesn't separate from the mix as much."", 'Cook for 7-8 hours on low.', 'Stir thoroughly before serving with a rubber spatula or wooden spoon.', 'Serve immediately.', 'Refrigerate leftovers; reheat with a splash of milk.', '*This recipe is easily cut in half for smaller slow-cookers. A time of 4 hours is optimal.']"
Baked Egg in Ham Cups With Parmesan and Green Onion,"['1   slice    ham, thin ', '1       egg', '2   teaspoons    parmesan cheese, grated ', '1   tablespoon    green onion, chopped ', ' smidge oil', '  salt', '  pepper']","['Preheat oven to 375F.', 'Oil your ramekin (or silpat cup or muffin tin).', 'Place the ham inside of it, making a nice cup.', 'Crack your egg into the center.', 'Top with green onion and cheese.', 'Salt and pepper to taste.', 'Bake for 15-20 minutes.  I prefer the yolk still runny -- less time.', 'Pop onto your plate and serve.']"
Crock Pot Chicken &aacute; La Antoinette,"['8       boneless chicken breasts', '2   tablespoons    olive oil', '1      whole onion, chopped ', '2   cups    mushrooms, sliced ', '1 (10 3/4  ounce) can   tomato bisque', '1 (10 3/4  ounce) can   cream of mushroom soup', '1   cup    red wine (beer will work too)', '1   pinch    oregano', '1   pinch    basil', '1   pinch    salt', '1   pinch    pepper']","['Saute onions and mushrooms in olive oil.', 'Add chicken.', 'Combine remaining ingredients and pour over chicken mixture. Slow cook on top of stove  for 1 1/2  to 2 hours. (You can also combine ingredients in the Crock Pot and cook on low for up to 12 hours).', 'Serve over Rice or Pasta.']"
Party Paella,"['6       boneless skinless chicken breasts', '3       chorizo sausage, sliced ', '18   large    shrimp, shelled & deveined ', '1   lb    mussels', '2   tablespoons    olive oil', '5   cups    chicken broth', '1   cup    white wine', '1   pinch    saffron', '1       onion, chopped ', '3       garlic cloves, chopped ', '  salt, pepper, paprika ', '1   cup    peas', '1 (4   ounce) jar   pimientos', '3   cups    arborio rice']","['Preheat oven to 400&deg;F.', 'In skillet add 1 tbsp oil, saut&eacute; chorizo until fat is rendered, remove.', 'Add more oil, add chicken brown on both sides, remove.', 'Heat chicken broth w/saffron, set aside.', 'Add oil, onions, garlic, saut&eacute; until softened, add rice, stir to coat.', 'Add wine, stir, add broth and spices, bring to boil, stirring.', 'Let liquid reduce slightly, add peas, pimentos; stir.', 'Add chicken, chorizo and stir.', 'Place in oven, uncovered for 10 minutes.', 'Add shrimp and mussels, stir, heat 10 minutes more until all liquid is absorbed.', ""Remove mussels that don't open."", 'Garnish with parsley.']"
(Panera Bread) Black Bean Soup,"['1       onion, finely chopped ', '2       garlic cloves, minced ', '2       celery ribs, finely chopped ', '1/4  large    red bell pepper, finely chopped ', '2   small    chicken bouillon cubes', '1 -1 1/2  cup    boiling water', '2 (15   ounce) cans   black beans, undrained ', '1/2  teaspoon    salt', '1/2  teaspoon    cumin', '1/2      lemon, juice of', '1 1/2  tablespoons    cornstarch']","['In a pot, combine the first six ingredients; simmer for 10 minutes.', 'Add half a can of beans, salt and cumin; cook for 5 minutes.', 'Puree soup (I use an immersion blender which makes it easy to do it right in the pot).', 'Add the rest of the beans to the soup.', 'Combine the cornstarch with 1 1/2 tablespoons of water.', 'Add the lemon and the cornstarch to the soup; cook until thickened.']"
Deviled Eggs,"['6   large    hard-boiled eggs', '  salt and black pepper', '2   tablespoons   real mayonnaise', '1   teaspoon    prepared yellow mustard', '2      diced gherkins', '1      sliced jalapeno', '  paprika']","['Peel shells off cooled hard-boiled eggs; slice into halves lengthwise.', 'Remove yolks from whites and place in a small round bowl.', 'Mash yolks with a fork into fine pieces.', 'Add 2 heaping tablespoons Mayonnaise, yellow mustard, diced gherkins and finely chopped jalapeno (seeds removed), and salt and black pepper to taste.', 'Stir mixture until creamy.', 'Spoon mixture into a zip-lock sandwich bag; seal bag and snip off one corner of the bag.', 'Squeeze mixture out of corner of bag into egg white halves.', 'Sprinkle tops of filled deviled eggs with paprika.', 'Chill in refrigerator 1 to 2 hours or until cold before serving.']"
Pacific Blue Sangria,"['1 (750   ml) bottle   dry white wine', '1/2  cup    blue curacao', '1/2  cup    fresh lemon juice', '1/2  cup    simple syrup (1 part sugar, 1 part water)', '2       oranges, cut into wheels ', '1   cup    pineapple chunk', '  carbonated lemon-lime beverage, as needed  (7-Up)']","['Combine all the ingredients except the 7-Up in a large ceramic or glass container and stir well.', 'Cover and refrigerate for at least 4 hours.', 'Serve over ice and top with 7-Up.', 'Garnish with an orange wheel or pineapple wedge.']"
